Country Name,Country Code,Year,average_value_Gini index (World Bank estimate)
Lithuania,LTU,2007,34.8
Lao PDR,LAO,2007,35.4
West Bank and Gaza,PSE,2007,35.6
Indonesia,IDN,2007,35.7
United Kingdom,GBR,2007,35.7
Mongolia,MNG,2007,35.8
Bulgaria,BGR,2007,36.1
Liberia,LBR,2007,36.5
Portugal,PRT,2007,36.8
Niger,NER,2007,37.3
Latvia,LVA,2007,37.5
Romania,ROU,2007,37.5
Bhutan,BTN,2007,38.1
Georgia,GEO,2007,38.1
Turkey,TUR,2007,38.4
Guinea,GIN,2007,39.4
Thailand,THA,2007,39.8
Tanzania,TZA,2007,40.3
United States,USA,2007,40.8
Israel,ISR,2007,41.1
Russian Federation,RUS,2007,42.3
Cameroon,CMR,2007,42.8
El Salvador,SLV,2007,45.2
Argentina,ARG,2007,46.2
Uruguay,URY,2007,46.4
Cabo Verde,CPV,2007,47.2
Dominican Republic,DOM,2007,48.9
Costa Rica,CRI,2007,49.3
Peru,PER,2007,50.0
Panama,PAN,2007,52.7
Paraguay,PRY,2007,53.0
Ecuador,ECU,2007,53.4
Bolivia,BOL,2007,54.5
Brazil,BRA,2007,54.9
Honduras,HND,2007,55.8
Slovenia,SVN,2008,23.7
Denmark,DNK,2008,25.2
Slovak Republic,SVK,2008,26.0
Czech Republic,CZE,2008,26.3
Ukraine,UKR,2008,26.6
Norway,NOR,2008,27.0
Hungary,HUN,2008,27.5
Belarus,BLR,2008,27.8
Finland,FIN,2008,27.8
Sweden,SWE,2008,28.1
Belgium,BEL,2008,28.4
Kazakhstan,KAZ,2008,28.5
Malta,MLT,2008,29.0
Armenia,ARM,2008,29.2
Netherlands,NLD,2008,29.3
Albania,ALB,2008,30.0
Austria,AUT,2008,30.4
Ireland,IRL,2008,30.9
"Egypt, Arab Rep.",EGY,2008,31.1
Germany,DEU,2008,31.1
Kyrgyz Republic,KGZ,2008,31.5
Cyprus,CYP,2008,31.7
Iceland,ISL,2008,31.8
Estonia,EST,2008,31.9
"Korea, Rep.",KOR,2008,32.3
Jordan,JOR,2008,32.6
Luxembourg,LUX,2008,32.6
France,FRA,2008,33.0
Poland,POL,2008,33.5
Bulgaria,BGR,2008,33.6
Greece,GRC,2008,33.6
Italy,ITA,2008,33.8
Switzerland,CHE,2008,33.8
United Kingdom,GBR,2008,34.1
Spain,ESP,2008,34.2
Moldova,MDA,2008,34.7
Japan,JPN,2008,34.8
Indonesia,IDN,2008,35.2
Australia,AUS,2008,35.4
Vietnam,VNM,2008,35.6
Lithuania,LTU,2008,35.7
Mauritania,MRT,2008,35.7
Romania,ROU,2008,36.4
Portugal,PRT,2008,36.6
Latvia,LVA,2008,37.2
Georgia,GEO,2008,38.5
Turkey,TUR,2008,39.0
Thailand,THA,2008,40.3
Fiji,FJI,2008,40.4
United States,USA,2008,40.8
Russian Federation,RUS,2008,41.6
Samoa,WSM,2008,42.0
Angola,AGO,2008,42.7
China,CHN,2008,43.0
Cote d'Ivoire,CIV,2008,43.2
Argentina,ARG,2008,44.9
Uruguay,URY,2008,45.1
Malaysia,MYS,2008,45.5
Mozambique,MOZ,2008,45.6
El Salvador,SLV,2008,46.9
Peru,PER,2008,47.5
Dominican Republic,DOM,2008,48.1
Costa Rica,CRI,2008,48.6
Ecuador,ECU,2008,49.8
Mexico,MEX,2008,49.9
Paraguay,PRY,2008,50.7
Bolivia,BOL,2008,50.8
Panama,PAN,2008,52.7
Brazil,BRA,2008,54.0
Colombia,COL,2008,55.3
Honduras,HND,2008,55.5
Central African Republic,CAF,2008,56.2
South Africa,ZAF,2008,63.0
Slovenia,SVN,2009,24.8
Ukraine,UKR,2009,25.3
Czech Republic,CZE,2009,26.2
Norway,NOR,2009,26.2
Denmark,DNK,2009,26.7
Hungary,HUN,2009,27.0
Slovak Republic,SVK,2009,27.2
Sweden,SWE,2009,27.3
Finland,FIN,2009,27.5
Belarus,BLR,2009,27.7
Netherlands,NLD,2009,27.9
Armenia,ARM,2009,28.0
Kazakhstan,KAZ,2009,28.2
Belgium,BEL,2009,28.6
Iceland,ISL,2009,28.7
Kyrgyz Republic,KGZ,2009,29.9
Malta,MLT,2009,30.2
Germany,DEU,2009,30.5
Tajikistan,TJK,2009,30.8
Luxembourg,LUX,2009,31.2
Estonia,EST,2009,31.4
Austria,AUT,2009,31.5
Kosovo,XKX,2009,31.8
Cyprus,CYP,2009,32.1
Croatia,HRV,2009,32.6
France,FRA,2009,32.7
Ireland,IRL,2009,32.7
Moldova,MDA,2009,32.9
Switzerland,CHE,2009,32.9
Mali,MLI,2009,33.0
Poland,POL,2009,33.4
Greece,GRC,2009,33.6
Bulgaria,BGR,2009,33.8
Italy,ITA,2009,33.8
United Kingdom,GBR,2009,34.3
West Bank and Gaza,PSE,2009,34.5
Portugal,PRT,2009,34.9
Spain,ESP,2009,34.9
Indonesia,IDN,2009,35.1
India,IND,2009,35.4
Sudan,SDN,2009,35.4
Romania,ROU,2009,35.6
Latvia,LVA,2009,36.0
Sri Lanka,LKA,2009,36.1
Lithuania,LTU,2009,37.2
Tonga,TON,2009,37.5
Georgia,GEO,2009,38.2
Maldives,MDV,2009,38.4
Turkey,TUR,2009,39.0
Thailand,THA,2009,39.6
Burkina Faso,BFA,2009,39.8
Russian Federation,RUS,2009,39.8
United States,USA,2009,40.6
Papua New Guinea,PNG,2009,41.9
"Iran, Islamic Rep.",IRN,2009,42.1
North Macedonia,MKD,2009,42.8
Nigeria,NGA,2009,43.0
Argentina,ARG,2009,43.7
Nicaragua,NIC,2009,43.9
Uganda,UGA,2009,44.2
Uruguay,URY,2009,45.5
El Salvador,SLV,2009,45.8
Philippines,PHL,2009,46.3
South Sudan,SSD,2009,46.3
Chile,CHL,2009,47.0
Peru,PER,2009,47.0
Ecuador,ECU,2009,48.5
Dominican Republic,DOM,2009,48.9
Paraguay,PRY,2009,49.1
Bolivia,BOL,2009,49.2
Costa Rica,CRI,2009,50.6
Honduras,HND,2009,51.3
Eswatini,SWZ,2009,51.5
Panama,PAN,2009,51.8
Brazil,BRA,2009,53.7
Colombia,COL,2009,54.3
Botswana,BWA,2009,60.5
Namibia,NAM,2009,61.0
Ukraine,UKR,2010,24.8
Slovenia,SVN,2010,24.9
Norway,NOR,2010,25.7
Iceland,ISL,2010,26.2
Czech Republic,CZE,2010,26.6
Denmark,DNK,2010,27.2
Slovak Republic,SVK,2010,27.3
Finland,FIN,2010,27.7
Sweden,SWE,2010,27.7
Netherlands,NLD,2010,27.8
Kazakhstan,KAZ,2010,28.0
Belgium,BEL,2010,28.4
Belarus,BLR,2010,28.6
Malta,MLT,2010,29.0
Hungary,HUN,2010,29.4
Pakistan,PAK,2010,29.8
Armenia,ARM,2010,30.0
Kyrgyz Republic,KGZ,2010,30.1
"Egypt, Arab Rep.",EGY,2010,30.2
Germany,DEU,2010,30.2
Austria,AUT,2010,30.3
Luxembourg,LUX,2010,30.5
Sao Tome and Principe,STP,2010,30.8
Cyprus,CYP,2010,31.5
Estonia,EST,2010,32.0
"Korea, Rep.",KOR,2010,32.0
Bangladesh,BGD,2010,32.1
Japan,JPN,2010,32.1
Moldova,MDA,2010,32.1
Ireland,IRL,2010,32.3
Croatia,HRV,2010,32.4
Switzerland,CHE,2010,32.6
Nepal,NPL,2010,32.8
Mongolia,MNG,2010,33.1
Ethiopia,ETH,2010,33.2
Poland,POL,2010,33.2
Kosovo,XKX,2010,33.3
Canada,CAN,2010,33.6
Lithuania,LTU,2010,33.6
France,FRA,2010,33.7
Jordan,JOR,2010,33.7
Greece,GRC,2010,34.1
United Kingdom,GBR,2010,34.4
Australia,AUS,2010,34.7
Italy,ITA,2010,34.7
Latvia,LVA,2010,35.0
Spain,ESP,2010,35.2
West Bank and Gaza,PSE,2010,35.3
Romania,ROU,2010,35.5
Bulgaria,BGR,2010,35.7
Portugal,PRT,2010,35.8
Tunisia,TUN,2010,35.8
Indonesia,IDN,2010,36.4
Vanuatu,VUT,2010,37.6
Turkey,TUR,2010,38.8
Tuvalu,TUV,2010,39.1
Vietnam,VNM,2010,39.3
Thailand,THA,2010,39.4
Georgia,GEO,2010,39.5
Russian Federation,RUS,2010,39.5
United States,USA,2010,40.0
North Macedonia,MKD,2010,40.2
Madagascar,MDG,2010,42.4
Israel,ISR,2010,42.5
El Salvador,SLV,2010,43.5
Argentina,ARG,2010,43.6
"Gambia, The",GMB,2010,43.6
China,CHN,2010,43.7
Uruguay,URY,2010,44.5
Malawi,MWI,2010,45.5
Peru,PER,2010,45.5
Mexico,MEX,2010,47.2
Rwanda,RWA,2010,47.2
Dominican Republic,DOM,2010,47.3
Costa Rica,CRI,2010,48.2
Ecuador,ECU,2010,48.8
Guinea-Bissau,GNB,2010,50.7
Paraguay,PRY,2010,51.0
Panama,PAN,2010,51.6
Honduras,HND,2010,53.1
Colombia,COL,2010,54.6
Zambia,ZMB,2010,55.6
South Africa,ZAF,2010,63.4
Ukraine,UKR,2011,24.6
Slovenia,SVN,2011,24.9
Norway,NOR,2011,25.3
Czech Republic,CZE,2011,26.4
Slovak Republic,SVK,2011,26.5
Iceland,ISL,2011,26.8
Belarus,BLR,2011,27.2
Denmark,DNK,2011,27.3
Algeria,DZA,2011,27.6
Finland,FIN,2011,27.6
Sweden,SWE,2011,27.6
Kosovo,XKX,2011,27.8
Kyrgyz Republic,KGZ,2011,27.8
Netherlands,NLD,2011,27.8
Kazakhstan,KAZ,2011,28.0
Belgium,BEL,2011,28.1
Malta,MLT,2011,29.1
Hungary,HUN,2011,29.2
Armenia,ARM,2011,29.4
Germany,DEU,2011,30.5
Moldova,MDA,2011,30.6
Austria,AUT,2011,30.8
Pakistan,PAK,2011,30.9
Niger,NER,2011,31.5
Switzerland,CHE,2011,31.7
Lebanon,LBN,2011,31.8
Luxembourg,LUX,2011,32.1
Croatia,HRV,2011,32.3
Estonia,EST,2011,32.5
Lithuania,LTU,2011,32.5
Cyprus,CYP,2011,32.6
Ireland,IRL,2011,32.9
Bosnia and Herzegovina,BIH,2011,33.0
Poland,POL,2011,33.2
United Kingdom,GBR,2011,33.2
France,FRA,2011,33.3
Mongolia,MNG,2011,33.9
Sierra Leone,SLE,2011,34.0
Bulgaria,BGR,2011,34.3
West Bank and Gaza,PSE,2011,34.4
Greece,GRC,2011,34.8
Italy,ITA,2011,35.1
India,IND,2011,35.7
Spain,ESP,2011,35.7
Latvia,LVA,2011,35.8
Romania,ROU,2011,35.9
Portugal,PRT,2011,36.3
Thailand,THA,2011,37.5
Tanzania,TZA,2011,37.8
North Macedonia,MKD,2011,39.4
Georgia,GEO,2011,39.6
Indonesia,IDN,2011,39.7
Russian Federation,RUS,2011,39.7
Turkey,TUR,2011,40.0
Senegal,SEN,2011,40.3
United States,USA,2011,40.9
Uruguay,URY,2011,42.2
El Salvador,SLV,2011,42.3
China,CHN,2011,42.4
Argentina,ARG,2011,42.6
Zimbabwe,ZWE,2011,43.2
Chad,TCD,2011,43.3
Benin,BEN,2011,43.4
Malaysia,MYS,2011,43.9
Peru,PER,2011,44.7
Ecuador,ECU,2011,45.9
Chile,CHL,2011,46.0
Togo,TGO,2011,46.0
Bolivia,BOL,2011,46.1
Dominican Republic,DOM,2011,47.7
Costa Rica,CRI,2011,48.7
"Congo, Rep.",COG,2011,48.9
Panama,PAN,2011,51.3
Paraguay,PRY,2011,52.3
Honduras,HND,2011,52.6
Brazil,BRA,2011,52.9
Colombia,COL,2011,53.5
Ukraine,UKR,2012,24.7
Slovenia,SVN,2012,25.6
Norway,NOR,2012,25.7
Czech Republic,CZE,2012,26.1
Slovak Republic,SVK,2012,26.1
Belarus,BLR,2012,26.5
Iceland,ISL,2012,26.8
Finland,FIN,2012,27.1
Kyrgyz Republic,KGZ,2012,27.4
Belgium,BEL,2012,27.5
Netherlands,NLD,2012,27.6
Sweden,SWE,2012,27.6
Denmark,DNK,2012,27.8
Kazakhstan,KAZ,2012,28.2
"Egypt, Arab Rep.",EGY,2012,28.3
Albania,ALB,2012,29.0
Kosovo,XKX,2012,29.0
Moldova,MDA,2012,29.2
Malta,MLT,2012,29.4
Iraq,IRQ,2012,29.5
Armenia,ARM,2012,29.6
Austria,AUT,2012,30.5
Hungary,HUN,2012,30.8
Germany,DEU,2012,30.9
"Korea, Rep.",KOR,2012,31.6
Switzerland,CHE,2012,31.6
United Kingdom,GBR,2012,32.3
Croatia,HRV,2012,32.5
Estonia,EST,2012,32.9
Poland,POL,2012,33.0
France,FRA,2012,33.1
Ireland,IRL,2012,33.2
Canada,CAN,2012,33.5
Guinea,GIN,2012,33.7
Mongolia,MNG,2012,33.8
Cyprus,CYP,2012,34.3
Luxembourg,LUX,2012,34.3
Nauru,NRU,2012,34.8
Lithuania,LTU,2012,35.1
Italy,ITA,2012,35.2
Latvia,LVA,2012,35.2
Spain,ESP,2012,35.4
Vietnam,VNM,2012,35.6
Bulgaria,BGR,2012,36.0
Lao PDR,LAO,2012,36.0
Portugal,PRT,2012,36.0
Greece,GRC,2012,36.3
Romania,ROU,2012,36.5
Solomon Islands,SLB,2012,37.1
North Macedonia,MKD,2012,38.1
Mauritius,MUS,2012,38.5
Sri Lanka,LKA,2012,38.7
Bhutan,BTN,2012,38.8
Georgia,GEO,2012,39.0
Thailand,THA,2012,39.3
Indonesia,IDN,2012,39.7
Serbia,SRB,2012,39.9
Uruguay,URY,2012,39.9
Turkey,TUR,2012,40.2
Russian Federation,RUS,2012,40.7
United States,USA,2012,40.9
Uganda,UGA,2012,41.0
Haiti,HTI,2012,41.1
Montenegro,MNE,2012,41.2
Argentina,ARG,2012,41.3
Israel,ISR,2012,41.3
El Salvador,SLV,2012,41.8
"Congo, Dem. Rep.",COD,2012,42.1
China,CHN,2012,42.2
Ghana,GHA,2012,42.4
Madagascar,MDG,2012,42.6
Peru,PER,2012,44.4
Djibouti,DJI,2012,45.1
Dominican Republic,DOM,2012,46.1
Ecuador,ECU,2012,46.1
Philippines,PHL,2012,46.5
Bolivia,BOL,2012,46.6
Paraguay,PRY,2012,47.6
Costa Rica,CRI,2012,48.6
Mexico,MEX,2012,48.7
Panama,PAN,2012,51.7
Colombia,COL,2012,52.6
Honduras,HND,2012,53.4
Brazil,BRA,2012,53.5
Ukraine,UKR,2013,24.6
Iceland,ISL,2013,25.4
Slovenia,SVN,2013,26.2
Kosovo,XKX,2013,26.3
Norway,NOR,2013,26.4
Czech Republic,CZE,2013,26.5
Belarus,BLR,2013,26.6
Kazakhstan,KAZ,2013,27.1
Finland,FIN,2013,27.2
Belgium,BEL,2013,27.7
Netherlands,NLD,2013,28.1
Slovak Republic,SVK,2013,28.1
Denmark,DNK,2013,28.5
Moldova,MDA,2013,28.5
Kyrgyz Republic,KGZ,2013,28.8
Malta,MLT,2013,28.8
Sweden,SWE,2013,28.8
Armenia,ARM,2013,30.6
Pakistan,PAK,2013,30.7
Austria,AUT,2013,30.8
Germany,DEU,2013,31.1
Hungary,HUN,2013,31.5
Croatia,HRV,2013,32.0
Luxembourg,LUX,2013,32.0
France,FRA,2013,32.5
Switzerland,CHE,2013,32.5
United Arab Emirates,ARE,2013,32.5
Japan,JPN,2013,32.9
Poland,POL,2013,33.1
United Kingdom,GBR,2013,33.2
Ireland,IRL,2013,33.5
Canada,CAN,2013,33.8
Italy,ITA,2013,34.9
Estonia,EST,2013,35.1
Lithuania,LTU,2013,35.3
Latvia,LVA,2013,35.5
Greece,GRC,2013,36.1
North Macedonia,MKD,2013,36.2
Portugal,PRT,2013,36.2
Spain,ESP,2013,36.2
Bulgaria,BGR,2013,36.6
Fiji,FJI,2013,36.7
Romania,ROU,2013,36.9
Cyprus,CYP,2013,37.0
"Iran, Islamic Rep.",IRN,2013,37.4
Thailand,THA,2013,37.8
Burundi,BDI,2013,38.6
Georgia,GEO,2013,38.6
Samoa,WSM,2013,38.7
Montenegro,MNE,2013,39.0
Morocco,MAR,2013,39.5
Serbia,SRB,2013,39.5
China,CHN,2013,39.7
Indonesia,IDN,2013,40.0
"Micronesia, Fed. Sts.",FSM,2013,40.1
Turkey,TUR,2013,40.2
Uruguay,URY,2013,40.5
United States,USA,2013,40.7
Argentina,ARG,2013,40.9
Russian Federation,RUS,2013,40.9
Malaysia,MYS,2013,41.3
El Salvador,SLV,2013,43.4
Peru,PER,2013,43.9
Djibouti,DJI,2013,44.1
Rwanda,RWA,2013,45.1
Chile,CHL,2013,45.8
Seychelles,SYC,2013,46.8
Ecuador,ECU,2013,46.9
Bolivia,BOL,2013,47.6
Dominican Republic,DOM,2013,47.7
Paraguay,PRY,2013,47.9
Costa Rica,CRI,2013,49.3
Honduras,HND,2013,50.0
Panama,PAN,2013,51.5
Colombia,COL,2013,52.6
Brazil,BRA,2013,52.8
Ukraine,UKR,2014,24.0
Slovenia,SVN,2014,25.7
Czech Republic,CZE,2014,25.9
Slovak Republic,SVK,2014,26.1
Finland,FIN,2014,26.8
Kyrgyz Republic,KGZ,2014,26.8
Moldova,MDA,2014,26.8
Norway,NOR,2014,26.8
Kazakhstan,KAZ,2014,27.0
Belarus,BLR,2014,27.2
Kosovo,XKX,2014,27.3
Iceland,ISL,2014,27.8
Belgium,BEL,2014,28.1
Denmark,DNK,2014,28.4
Sweden,SWE,2014,28.4
Netherlands,NLD,2014,28.6
Timor-Leste,TLS,2014,28.7
Malta,MLT,2014,29.0
Austria,AUT,2014,30.5
Germany,DEU,2014,30.9
Hungary,HUN,2014,30.9
"Korea, Rep.",KOR,2014,31.2
Luxembourg,LUX,2014,31.2
Armenia,ARM,2014,31.5
Ireland,IRL,2014,31.9
Mongolia,MNG,2014,32.0
Croatia,HRV,2014,32.1
France,FRA,2014,32.3
Switzerland,CHE,2014,32.5
Mauritania,MRT,2014,32.6
Poland,POL,2014,32.8
Canada,CAN,2014,33.2
Liberia,LBR,2014,33.2
United Kingdom,GBR,2014,34.0
Sudan,SDN,2014,34.2
Niger,NER,2014,34.3
Australia,AUS,2014,34.4
Albania,ALB,2014,34.6
Estonia,EST,2014,34.6
Italy,ITA,2014,34.7
Vietnam,VNM,2014,34.8
Latvia,LVA,2014,35.1
North Macedonia,MKD,2014,35.2
Burkina Faso,BFA,2014,35.3
Cyprus,CYP,2014,35.6
Portugal,PRT,2014,35.6
Greece,GRC,2014,35.8
Romania,ROU,2014,36.0
Spain,ESP,2014,36.1
"Yemen, Rep.",YEM,2014,36.7
Thailand,THA,2014,37.0
Bulgaria,BGR,2014,37.4
Georgia,GEO,2014,37.6
Lithuania,LTU,2014,37.7
"Iran, Islamic Rep.",IRN,2014,38.8
Montenegro,MNE,2014,38.8
China,CHN,2014,39.2
Indonesia,IDN,2014,39.4
Israel,ISR,2014,39.8
Russian Federation,RUS,2014,39.9
Uruguay,URY,2014,40.1
Serbia,SRB,2014,40.5
Turkey,TUR,2014,41.2
United States,USA,2014,41.5
Argentina,ARG,2014,41.6
El Salvador,SLV,2014,41.6
Peru,PER,2014,43.1
Dominican Republic,DOM,2014,44.3
Ecuador,ECU,2014,45.0
Comoros,COM,2014,45.3
Nicaragua,NIC,2014,46.2
Cameroon,CMR,2014,46.6
Bolivia,BOL,2014,47.8
Guatemala,GTM,2014,48.3
Costa Rica,CRI,2014,48.6
Mexico,MEX,2014,48.7
Honduras,HND,2014,49.9
Panama,PAN,2014,50.5
Paraguay,PRY,2014,50.7
Brazil,BRA,2014,52.1
Colombia,COL,2014,52.6
Mozambique,MOZ,2014,54.0
South Africa,ZAF,2014,63.0
Slovenia,SVN,2015,25.4
Ukraine,UKR,2015,25.5
Belarus,BLR,2015,25.6
Czech Republic,CZE,2015,25.9
Kosovo,XKX,2015,26.5
Slovak Republic,SVK,2015,26.5
Iceland,ISL,2015,26.8
Kazakhstan,KAZ,2015,26.8
Moldova,MDA,2015,27.0
Finland,FIN,2015,27.1
Norway,NOR,2015,27.5
Belgium,BEL,2015,27.7
Denmark,DNK,2015,28.2
Netherlands,NLD,2015,28.2
Kyrgyz Republic,KGZ,2015,29.0
Sweden,SWE,2015,29.2
Malta,MLT,2015,29.4
Hungary,HUN,2015,30.4
Austria,AUT,2015,30.5
Croatia,HRV,2015,31.1
Germany,DEU,2015,31.7
"Egypt, Arab Rep.",EGY,2015,31.8
Ireland,IRL,2015,31.8
Poland,POL,2015,31.8
Switzerland,CHE,2015,32.3
Armenia,ARM,2015,32.4
Pakistan,PAK,2015,32.6
Estonia,EST,2015,32.7
France,FRA,2015,32.7
Tunisia,TUN,2015,32.8
Albania,ALB,2015,32.9
Luxembourg,LUX,2015,32.9
United Kingdom,GBR,2015,33.2
Canada,CAN,2015,33.7
Cyprus,CYP,2015,34.0
Tajikistan,TJK,2015,34.0
Latvia,LVA,2015,34.2
Ethiopia,ETH,2015,35.0
Italy,ITA,2015,35.4
Portugal,PRT,2015,35.5
North Macedonia,MKD,2015,35.6
"Gambia, The",GMB,2015,35.9
Romania,ROU,2015,35.9
Greece,GRC,2015,36.0
Thailand,THA,2015,36.0
Spain,ESP,2015,36.2
Georgia,GEO,2015,36.5
Lithuania,LTU,2015,37.4
Tonga,TON,2015,37.6
Russian Federation,RUS,2015,37.7
Myanmar,MMR,2015,38.1
Bulgaria,BGR,2015,38.6
China,CHN,2015,38.6
Montenegro,MNE,2015,39.0
"Iran, Islamic Rep.",IRN,2015,39.5
Indonesia,IDN,2015,39.7
Uruguay,URY,2015,40.1
Serbia,SRB,2015,40.5
El Salvador,SLV,2015,40.6
Kenya,KEN,2015,40.8
Malaysia,MYS,2015,41.1
United States,USA,2015,41.2
Cote d'Ivoire,CIV,2015,41.5
Cabo Verde,CPV,2015,42.4
Turkey,TUR,2015,42.9
Togo,TGO,2015,43.1
Peru,PER,2015,43.4
Chile,CHL,2015,44.4
Philippines,PHL,2015,44.6
Dominican Republic,DOM,2015,45.2
Ecuador,ECU,2015,46.0
Bolivia,BOL,2015,46.7
Paraguay,PRY,2015,47.6
Benin,BEN,2015,47.8
Costa Rica,CRI,2015,48.4
Honduras,HND,2015,49.2
Panama,PAN,2015,50.8
Colombia,COL,2015,51.0
Brazil,BRA,2015,51.9
Botswana,BWA,2015,53.3
Zambia,ZMB,2015,57.1
Namibia,NAM,2015,59.1
Slovenia,SVN,2016,24.8
Ukraine,UKR,2016,25.0
Slovak Republic,SVK,2016,25.2
Belarus,BLR,2016,25.3
Czech Republic,CZE,2016,25.4
Moldova,MDA,2016,26.3
Kosovo,XKX,2016,26.7
Kyrgyz Republic,KGZ,2016,26.8
Finland,FIN,2016,27.1
Iceland,ISL,2016,27.2
Kazakhstan,KAZ,2016,27.2
Belgium,BEL,2016,27.6
Denmark,DNK,2016,28.2
Netherlands,NLD,2016,28.2
Norway,NOR,2016,28.5
Malta,MLT,2016,29.1
Sweden,SWE,2016,29.6
Hungary,HUN,2016,30.3
Austria,AUT,2016,30.8
Croatia,HRV,2016,30.9
Estonia,EST,2016,31.2
Poland,POL,2016,31.2
Maldives,MDV,2016,31.3
"Korea, Rep.",KOR,2016,31.4
Luxembourg,LUX,2016,31.7
France,FRA,2016,31.9
Germany,DEU,2016,31.9
Mongolia,MNG,2016,32.3
Bangladesh,BGD,2016,32.4
Armenia,ARM,2016,32.5
Canada,CAN,2016,32.7
Ireland,IRL,2016,32.8
Cyprus,CYP,2016,32.9
Switzerland,CHE,2016,33.0
Albania,ALB,2016,33.7
West Bank and Gaza,PSE,2016,33.7
Latvia,LVA,2016,34.3
Romania,ROU,2016,34.4
North Macedonia,MKD,2016,34.5
United Kingdom,GBR,2016,34.8
Greece,GRC,2016,35.0
Italy,ITA,2016,35.2
Portugal,PRT,2016,35.2
Liberia,LBR,2016,35.3
Vietnam,VNM,2016,35.3
Spain,ESP,2016,35.8
Georgia,GEO,2016,36.6
Russian Federation,RUS,2016,36.8
Thailand,THA,2016,36.9
Lithuania,LTU,2016,38.4
China,CHN,2016,38.5
Montenegro,MNE,2016,38.5
Indonesia,IDN,2016,38.6
Serbia,SRB,2016,38.8
Israel,ISR,2016,39.0
Sri Lanka,LKA,2016,39.3
Uruguay,URY,2016,39.7
El Salvador,SLV,2016,40.0
"Iran, Islamic Rep.",IRN,2016,40.0
Bulgaria,BGR,2016,40.6
United States,USA,2016,41.1
Turkey,TUR,2016,41.9
Argentina,ARG,2016,42.0
Uganda,UGA,2016,42.8
Ghana,GHA,2016,43.5
Peru,PER,2016,43.6
Rwanda,RWA,2016,43.7
South Sudan,SSD,2016,44.1
Malawi,MWI,2016,44.7
Ecuador,ECU,2016,45.0
Bolivia,BOL,2016,45.3
Dominican Republic,DOM,2016,45.7
Mexico,MEX,2016,46.3
Paraguay,PRY,2016,47.9
Costa Rica,CRI,2016,48.7
Honduras,HND,2016,49.8
Panama,PAN,2016,50.4
Colombia,COL,2016,50.6
St. Lucia,LCA,2016,51.2
Brazil,BRA,2016,53.3
Eswatini,SWZ,2016,54.6
Slovenia,SVN,2017,24.2
Czech Republic,CZE,2017,24.9
Belarus,BLR,2017,25.4
Moldova,MDA,2017,25.9
Ukraine,UKR,2017,26.0
Iceland,ISL,2017,26.1
Norway,NOR,2017,27.0
Kyrgyz Republic,KGZ,2017,27.3
Belgium,BEL,2017,27.4
Finland,FIN,2017,27.4
Kazakhstan,KAZ,2017,27.5
Netherlands,NLD,2017,28.5
Denmark,DNK,2017,28.7
Sweden,SWE,2017,28.8
Kosovo,XKX,2017,29.0
Malta,MLT,2017,29.2
Austria,AUT,2017,29.7
Poland,POL,2017,29.7
Croatia,HRV,2017,30.4
Estonia,EST,2017,30.4
Hungary,HUN,2017,30.6
Myanmar,MMR,2017,30.7
Cyprus,CYP,2017,31.4
Ireland,IRL,2017,31.4
"Egypt, Arab Rep.",EGY,2017,31.5
France,FRA,2017,31.6
Switzerland,CHE,2017,32.7
Albania,ALB,2017,33.2
Canada,CAN,2017,33.3
Armenia,ARM,2017,33.6
Portugal,PRT,2017,33.8
North Macedonia,MKD,2017,34.2
Greece,GRC,2017,34.4
Luxembourg,LUX,2017,34.5
Spain,ESP,2017,34.7
United Kingdom,GBR,2017,35.1
Latvia,LVA,2017,35.6
Italy,ITA,2017,35.9
Romania,ROU,2017,36.0
Serbia,SRB,2017,36.2
Thailand,THA,2017,36.5
Mauritius,MUS,2017,36.8
Somalia,SOM,2017,36.8
Russian Federation,RUS,2017,37.2
Lithuania,LTU,2017,37.3
Bhutan,BTN,2017,37.4
Georgia,GEO,2017,37.9
El Salvador,SLV,2017,38.0
Gabon,GAB,2017,38.0
Indonesia,IDN,2017,38.1
Uruguay,URY,2017,39.5
Bulgaria,BGR,2017,40.4
Tanzania,TZA,2017,40.5
"Iran, Islamic Rep.",IRN,2017,40.8
Argentina,ARG,2017,41.1
United States,USA,2017,41.2
Turkey,TUR,2017,41.4
Djibouti,DJI,2017,41.6
Dominican Republic,DOM,2017,42.2
Peru,PER,2017,43.3
Zimbabwe,ZWE,2017,44.3
Chile,CHL,2017,44.4
Bolivia,BOL,2017,44.6
Ecuador,ECU,2017,44.7
Lesotho,LSO,2017,44.9
Costa Rica,CRI,2017,48.3
Paraguay,PRY,2017,48.5
Honduras,HND,2017,49.4
Colombia,COL,2017,49.7
Panama,PAN,2017,49.9
Brazil,BRA,2017,53.3
Sao Tome and Principe,STP,2017,56.3
Slovenia,SVN,2018,24.6
Czech Republic,CZE,2018,25.0
Slovak Republic,SVK,2018,25.0
Belarus,BLR,2018,25.2
Moldova,MDA,2018,25.7
United Arab Emirates,ARE,2018,26.0
Ukraine,UKR,2018,26.1
Belgium,BEL,2018,27.2
Finland,FIN,2018,27.3
Norway,NOR,2018,27.6
Kyrgyz Republic,KGZ,2018,27.7
Kazakhstan,KAZ,2018,27.8
Netherlands,NLD,2018,28.1
Denmark,DNK,2018,28.2
Malta,MLT,2018,28.7
Hungary,HUN,2018,29.6
Croatia,HRV,2018,29.7
Sweden,SWE,2018,30.0
